Provinsi / Kabupaten / Kota,2022,,,,,,,
ACEH,11.11,,,,,,
SIMEULUE,20,,,,,,
ACEH SINGKIL,12,,,,,,
ACEH SELATAN,10,,,,,,
ACEH TENGGARA,10,,,,,,
ACEH TIMUR,10,,,,,,
ACEH TENGAH,16.67,,,,,,
ACEH BARAT,8,,,,,,
ACEH BESAR,2.86,,,,,,
PIDIE,17.5,,,,,,
BIREUEN,7.5,,,,,,
ACEH UTARA,2.22,,,,,,
ACEH BARAT DAYA,4,,,,,,
GAYO LUES,5,,,,,,
ACEH TAMIANG,36.67,,,,,,
NAGAN RAYA,16,,,,,,
ACEH JAYA,5,,,,,,
BENER MERIAH,4,,,,,,
PIDIE JAYA,4,,,,,,
KOTA BANDA ACEH,13.33,,,,,,
KOTA SABANG,25,,,,,,
KOTA LANGSA,20,,,,,,
KOTA LHOKSEUMAWE,24,,,,,,
KOTA SUBULUSSALAM,15,,,,,,
SUMATERA UTARA,14.14,,,,,,
NIAS,8,,,,,,
MANDAILING NATAL,15,,,,,,
TAPANULI SELATAN,11.43,,,,,,
TAPANULI TENGAH,17.14,,,,,,
TAPANULI UTARA,5.71,,,,,,
TOBA SAMOSIR,3.33,,,,,,
LABUHAN BATU,20,,,,,,
ASAHAN,22.22,,,,,,
SIMALUNGUN,8,,,,,,
DAIRI,5.71,,,,,,
KARO,28.57,,,,,,
DELI SERDANG,6,,,,,,
LANGKAT,16,,,,,,
NIAS SELATAN,17.14,,,,,,
HUMBANG HASUNDUTAN,16,,,,,,
PAKPAK BHARAT,10.53,,,,,,
SAMOSIR,25,,,,,,
SERDANG BEDAGAI,15.56,,,,,,
BATU BARA,11.43,,,,,,
PADANG LAWAS UTARA,10,,,,,,
PADANG LAWAS,3.33,,,,,,
LABUHAN BATU SELATAN,14.29,,,,,,
LABUHAN BATU UTARA,2.86,,,,,,
NIAS UTARA,8.33,,,,,,
NIAS BARAT,10,,,,,,
KOTA SIBOLGA,25,,,,,,
KOTA TANJUNG BALAI,20.83,,,,,,
KOTA PEMATANG SIANTAR,10,,,,,,
KOTA TEBING TINGGI,4,,,,,,
KOTA MEDAN,12,,,,,,
KOTA BINJAI,17.24,,,,,,
KOTA PADANGSIDIMPUAN,16.67,,,,,,
KOTA GUNUNGSITOLI,8,,,,,,
SUMATERA BARAT,10.77,,,,,,
KEPULAUAN MENTAWAI,-,,,,,,
PESISIR SELATAN,6.67,,,,,,
SOLOK,8.57,,,,,,
SIJUNJUNG,13.33,,,,,,
TANAH DATAR,8.57,,,,,,
PADANG PARIAMAN,-,,,,,,
AGAM,8.89,,,,,,
LIMA PULUH KOTA,5.71,,,,,,
PASAMAN,8.57,,,,,,
SOLOK SELATAN,-,,,,,,
DHARMAS RAYA,6.67,,,,,,
PASAMAN BARAT,7.5,,,,,,
KOTA PADANG,13.64,,,,,,
KOTA SOLOK,10,,,,,,
KOTA SAWAH LUNTO,20,,,,,,
KOTA PADANG PANJANG,10,,,,,,
KOTA BUKITTINGGI,8,,,,,,
KOTA PAYAKUMBUH,16,,,,,,
KOTA PARIAMAN,5,,,,,,
RIAU,21.54,,,,,,
KUANTAN SINGINGI,2.94,,,,,,
INDRAGIRI HULU,2.5,,,,,,
INDRAGIRI HILIR,13.33,,,,,,
PELALAWAN,2.86,,,,,,
SIAK,2.5,,,,,,
KAMPAR,8.89,,,,,,
ROKAN HULU,4.55,,,,,,
BENGKALIS,8.89,,,,,,
ROKAN HILIR,17.78,,,,,,
KEPULAUAN MERANTI,13.33,,,,,,
KOTA PEKANBARU,20,,,,,,
KOTA DUMAI,6.67,,,,,,
JAMBI,16.36,,,,,,
KERINCI,3.33,,,,,,
MERANGIN,2.86,,,,,,
SAROLANGUN,8.57,,,,,,
BATANG HARI,20,,,,,,
MUARO JAMBI,8.57,,,,,,
TANJUNG JABUNG TIMUR,26.67,,,,,,
TANJUNG JABUNG BARAT,25.71,,,,,,
TEBO,2.86,,,,,,
BUNGO,14.29,,,,,,
KOTA JAMBI,17.78,,,,,,
KOTA SUNGAI PENUH,-,,,,,,
SUMATERA SELATAN,21.33,,,,,,
OGAN KOMERING ULU,5.71,,,,,,
OGAN KOMERING ILIR,15.56,,,,,,
MUARA ENIM,15.56,,,,,,
LAHAT,15,,,,,,
MUSI RAWAS,20,,,,,,
MUSI BANYUASIN,6.67,,,,,,
BANYU ASIN,11.11,,,,,,
OGAN KOMERING ULU SELATAN,12.5,,,,,,
OGAN KOMERING ULU TIMUR,8.89,,,,,,
OGAN ILIR,15,,,,,,
EMPAT LAWANG,8.57,,,,,,
PENUKAL ABAB LEMATANG ILIR,-,,,,,,
MUSI RAWAS UTARA,4,,,,,,
KOTA PALEMBANG,8,,,,,,
KOTA PRABUMULIH,16,,,,,,
KOTA PAGAR ALAM,16,,,,,,
KOTA LUBUKLINGGAU,20,,,,,,
BENGKULU,15.56,,,,,,
BENGKULU SELATAN,-,,,,,,
REJANG LEBONG,17.24,,,,,,
BENGKULU UTARA,6.67,,,,,,
KAUR,8,,,,,,
SELUMA,10,,,,,,
MUKOMUKO,4,,,,,,
LEBONG,20,,,,,,
KEPAHIANG,12,,,,,,
BENGKULU TENGAH,24,,,,,,
KOTA BENGKULU,25.71,,,,,,
LAMPUNG,18.82,,,,,,
LAMPUNG BARAT,17.14,,,,,,
TANGGAMUS,6.67,,,,,,
LAMPUNG SELATAN,10,,,,,,
LAMPUNG TIMUR,12,,,,,,
LAMPUNG TENGAH,12,,,,,,
LAMPUNG UTARA,13.33,,,,,,
WAY KANAN,10,,,,,,
TULANGBAWANG,20,,,,,,
PESAWARAN,26.67,,,,,,
PRINGSEWU,27.5,,,,,,
MESUJI,22.86,,,,,,
TULANGBAWANG BARAT,6.67,,,,,,
PESISIR BARAT,4,,,,,,
KOTA BANDAR LAMPUNG,22,,,,,,
KOTA METRO,24,,,,,,
KEP. BANGKA BELITUNG,8.89,,,,,,
BANGKA,14.29,,,,,,
BELITUNG,8,,,,,,
BANGKA BARAT,16,,,,,,
BANGKA TENGAH,12,,,,,,
BANGKA SELATAN,8,,,,,,
BELITUNG TIMUR,8,,,,,,
KOTA PANGKAL PINANG,10,,,,,,
KEP. RIAU,8.89,,,,,,
KARIMUN,16.67,,,,,,
BINTAN,28,,,,,,
NATUNA,-,,,,,,
LINGGA,5,,,,,,
KEPULAUAN ANAMBAS,20,,,,,,
KOTA BATAM,8,,,,,,
KOTA TANJUNG PINANG,36.67,,,,,,
DKI JAKARTA,20.75,,,,,,
KEPULAUAN SERIBU,20.75,,,,,,
KODYA JAKARTA SELATAN,20.75,,,,,,
KODYA JAKARTA TIMUR,20.75,,,,,,
KODYA JAKARTA PUSAT,20.75,,,,,,
KODYA JAKARTA BARAT,20.75,,,,,,
KODYA JAKARTA UTARA,20.75,,,,,,
JAWA BARAT,21.85,,,,,,
BOGOR,9.09,,,,,,
SUKABUMI,14,,,,,,
CIANJUR,18,,,,,,
BANDUNG,16.36,,,,,,
GARUT,22,,,,,,
TASIKMALAYA,16,,,,,,
CIAMIS,10.2,,,,,,
KUNINGAN,24,,,,,,
CIREBON,28,,,,,,
MAJALENGKA,12,,,,,,
SUMEDANG,18,,,,,,
INDRAMAYU,34.69,,,,,,
SUBANG,24,,,,,,
PURWAKARTA,31.11,,,,,,
KARAWANG,28,,,,,,
BEKASI,20,,,,,,
BANDUNG BARAT,12,,,,,,
PANGANDARAN,25,,,,,,
KOTA BOGOR,22,,,,,,
KOTA SUKABUMI,17.14,,,,,,
KOTA BANDUNG,18,,,,,,
KOTA CIREBON,28.57,,,,,,
KOTA BEKASI,18.37,,,,,,
KOTA DEPOK,28,,,,,,
KOTA CIMAHI,24.44,,,,,,
KOTA TASIKMALAYA,6.67,,,,,,
KOTA BANJAR,6.67,,,,,,
JAWA TENGAH,20,,,,,,
CILACAP,26,,,,,,
BANYUMAS,22,,,,,,
PURBALINGGA,22.22,,,,,,
BANJARNEGARA,26,,,,,,
KEBUMEN,22,,,,,,
PURWOREJO,17.78,,,,,,
WONOSOBO,4.44,,,,,,
MAGELANG,14,,,,,,
BOYOLALI,31.11,,,,,,
KLATEN,14,,,,,,
SUKOHARJO,22.73,,,,,,
WONOGIRI,16,,,,,,
KARANGANYAR,18.18,,,,,,
SRAGEN,15.56,,,,,,
GROBOGAN,12,,,,,,
BLORA,8.89,,,,,,
REMBANG,13.33,,,,,,
PATI,16,,,,,,
KUDUS,8.89,,,,,,
JEPARA,12,,,,,,
DEMAK,12,,,,,,
SEMARANG,18,,,,,,
TEMANGGUNG,33.33,,,,,,
KENDAL,24.44,,,,,,
BATANG,15.56,,,,,,
PEKALONGAN,26.67,,,,,,
PEMALANG,32,,,,,,
TEGAL,24,,,,,,
BREBES,16,,,,,,
KOTA MAGELANG,24,,,,,,
KOTA SURAKARTA,24.44,,,,,,
KOTA SALATIGA,24,,,,,,
KOTA SEMARANG,18,,,,,,
KOTA PEKALONGAN,11.43,,,,,,
KOTA TEGAL,13.33,,,,,,
DI YOGYAKARTA,20,,,,,,
KULON PROGO,20,,,,,,
BANTUL,8.89,,,,,,
GUNUNG KIDUL,24.44,,,,,,
SLEMAN,28,,,,,,
KOTA YOGYAKARTA,17.5,,,,,,
JAWA TIMUR,19.17,,,,,,
PACITAN,15.56,,,,,,
PONOROGO,13.33,,,,,,
TRENGGALEK,6.67,,,,,,
TULUNGAGUNG,14,,,,,,
BLITAR,26,,,,,,
KEDIRI,22,,,,,,
MALANG,22,,,,,,
LUMAJANG,16,,,,,,
JEMBER,18,,,,,,
BANYUWANGI,26,,,,,,
BONDOWOSO,13.33,,,,,,
SITUBONDO,31.11,,,,,,
PROBOLINGGO,26,,,,,,
PASURUAN,12,,,,,,
SIDOARJO,16,,,,,,
MOJOKERTO,28.57,,,,,,
JOMBANG,24,,,,,,
NGANJUK,26,,,,,,
MADIUN,22.22,,,,,,
MAGETAN,15.56,,,,,,
NGAWI,26.67,,,,,,
BOJONEGORO,10,,,,,,
TUBAN,14,,,,,,
LAMONGAN,24,,,,,,
GRESIK,18,,,,,,
BANGKALAN,8,,,,,,
SAMPANG,6.67,,,,,,
PAMEKASAN,4.44,,,,,,
SUMENEP,8.33,,,,,,
KOTA KEDIRI,36.67,,,,,,
KOTA BLITAR,12,,,,,,
KOTA MALANG,26.67,,,,,,
KOTA PROBOLINGGO,13.33,,,,,,
KOTA PASURUAN,3.33,,,,,,
KOTA MOJOKERTO,16,,,,,,
KOTA MADIUN,23.33,,,,,,
KOTA SURABAYA,32,,,,,,
KOTA BATU,16.67,,,,,,
BANTEN,17.65,,,,,,
PANDEGLANG,14,,,,,,
LEBAK,8,,,,,,
TANGERANG,14,,,,,,
SERANG,12,,,,,,
KOTA TANGERANG,12,,,,,,
KOTA CILEGON,10,,,,,,
KOTA SERANG,13.33,,,,,,
KOTA TANGERANG SELATAN,30,,,,,,
BALI,16.36,,,,,,
JEMBRANA,17.14,,,,,,
TABANAN,25,,,,,,
BADUNG,22.5,,,,,,
GIANYAR,12.5,,,,,,
KLUNGKUNG,16.67,,,,,,
BANGLI,10,,,,,,
KARANG ASEM,6.67,,,,,,
BULELENG,17.78,,,,,,
KOTA DENPASAR,8.89,,,,,,
NUSA TENGGARA BARAT,1.59,,,,,,
LOMBOK BARAT,8.89,,,,,,
LOMBOK TENGAH,8,,,,,,
LOMBOK TIMUR,10,,,,,,
SUMBAWA,13.33,,,,,,
DOMPU,10,,,,,,
BIMA,6.67,,,,,,
SUMBAWA BARAT,8,,,,,,
LOMBOK UTARA,3.33,,,,,,
KOTA MATARAM,25,,,,,,
KOTA BIMA,16,,,,,,
NUSA TENGGARA TIMUR,20,,,,,,
SUMBA BARAT,16,,,,,,
SUMBA TIMUR,10,,,,,,
KUPANG,12.5,,,,,,
TIMOR TENGAH SELATAN,12.5,,,,,,
TIMOR TENGAH UTARA,3.33,,,,,,
BELU,23.33,,,,,,
ALOR,6.9,,,,,,
LEMBATA,-,,,,,,
FLORES TIMUR,3.33,,,,,,
SIKKA,14.29,,,,,,
ENDE,10,,,,,,
NGADA,4,,,,,,
MANGGARAI,11.43,,,,,,
ROTE NDAO,-,,,,,,
MANGGARAI BARAT,6.67,,,,,,
SUMBA TENGAH,-,,,,,,
SUMBA BARAT DAYA,11.43,,,,,,
NAGEKEO,-,,,,,,
MANGGARAI TIMUR,3.33,,,,,,
SABU RAIJUA,10,,,,,,
MALAKA,12,,,,,,
KOTA KUPANG,20,,,,,,
KALIMANTAN BARAT,18.46,,,,,,
SAMBAS,13.33,,,,,,
BENGKAYANG,20,,,,,,
LANDAK,17.14,,,,,,
PONTIANAK,8.57,,,,,,
SANGGAU,20,,,,,,
KETAPANG,8.89,,,,,,
SINTANG,12.5,,,,,,
KAPUAS HULU,6.67,,,,,,
SEKADAU,3.33,,,,,,
MELAWI,20,,,,,,
KAYONG UTARA,-,,,,,,
KUBU RAYA,25,,,,,,
KOTA PONTIANAK,15.38,,,,,,
KOTA SINGKAWANG,23.33,,,,,,
KALIMANTAN TENGAH,33.33,,,,,,
KOTAWARINGIN BARAT,16.67,,,,,,
KOTAWARINGIN TIMUR,22.5,,,,,,
KAPUAS,27.5,,,,,,
BARITO SELATAN,40,,,,,,
BARITO UTARA,36,,,,,,
SUKAMARA,25,,,,,,
LAMANDAU,20,,,,,,
SERUYAN,12,,,,,,
KATINGAN,16,,,,,,
PULANG PISAU,28,,,,,,
GUNUNG MAS,48,,,,,,
BARITO TIMUR,28,,,,,,
MURUNG RAYA,16,,,,,,
KOTA PALANGKA RAYA,33.33,,,,,,
KALIMANTAN SELATAN,20,,,,,,
TANAH LAUT,28.57,,,,,,
KOTA BARU,25.71,,,,,,
BANJAR,31.11,,,,,,
BARITO KUALA,22.86,,,,,,
TAPIN,16,,,,,,
HULU SUNGAI SELATAN,6.67,,,,,,
HULU SUNGAI TENGAH,20,,,,,,
HULU SUNGAI UTARA,23.33,,,,,,
TABALONG,26.67,,,,,,
TANAH BUMBU,14.29,,,,,,
BALANGAN,16,,,,,,
KOTA BANJARMASIN,24.44,,,,,,
KOTA BANJAR BARU,16.67,,,,,,
KALIMANTAN TIMUR,20,,,,,,
PASIR,20,,,,,,
KUTAI BARAT,16,,,,,,
KUTAI KARTANEGARA,15.56,,,,,,
KUTAI TIMUR,10,,,,,,
BERAU,16.67,,,,,,
MALINAU,20,,,,,,
BULUNGAN,20,,,,,,
NUNUKAN,32,,,,,,
PENAJAM PASER UTARA,4,,,,,,
TANA TIDUNG,15,,,,,,
MAHAKAM ULU,40,,,,,,
KOTA BALIKPAPAN,20,,,,,,
KOTA SAMARINDA,15.56,,,,,,
KOTA TARAKAN,10,,,,,,
KOTA BONTANG,8,,,,,,
KALIMANTAN UTARA,11.43,,,,,,
MALINAU,20,,,,,,
BULONGAN,20,,,,,,
TANA TIDUNG,15,,,,,,
NUNUKAN,32,,,,,,
KOTA TARAKAN,10,,,,,,
SULAWESI UTARA,29.55,,,,,,
BOLAANG MONGONDOW,34.48,,,,,,
MINAHASA,48.57,,,,,,
KEPULAUAN SANGIHE,12,,,,,,
KEPULAUAN TALAUD,20,,,,,,
MINAHASA SELATAN,27.59,,,,,,
MINAHASA UTARA,13.33,,,,,,
BOLAANG MONGONDOW UTARA,10,,,,,,
SIAU TAGULANDANG BIARO,25,,,,,,
MINAHASA TENGGARA,28,,,,,,
BOLAANG MONGONDOW SELATAN,21.05,,,,,,
BOLAANG MONGONDOW TIMUR,25,,,,,,
KOTA MANADO,40,,,,,,
KOTA BITUNG,17.24,,,,,,
KOTA TOMOHON,40,,,,,,
KOTA KOTAMOBAGU,20.83,,,,,,
SULAWESI TENGAH,28.89,,,,,,
BANGGAI KEPULAUAN,20,,,,,,
BANGGAI,28.57,,,,,,
MOROWALI,4,,,,,,
POSO,20,,,,,,
DONGGALA,13.33,,,,,,
TOLI-TOLI,20,,,,,,
BUOL,16,,,,,,
PARIGI MOUTONG,17.5,,,,,,
TOJO UNA-UNA,4,,,,,,
SIGI,23.33,,,,,,
BANGGAI LAUT,20,,,,,,
MOROWALI UTARA,28,,,,,,
KOTA PALU,11.43,,,,,,
SULAWESI SELATAN,27.06,,,,,,
KEPULAUAN SELAYAR,20,,,,,,
BULUKUMBA,17.5,,,,,,
BANTAENG,32,,,,,,
JENEPONTO,20,,,,,,
TAKALAR,30,,,,,,
GOWA,28.89,,,,,,
SINJAI,26.67,,,,,,
MAROS,25.71,,,,,,
PANGKAJENE DAN KEPULAUAN,14.29,,,,,,
BARRU,20,,,,,,
BONE,8.89,,,,,,
SOPPENG,23.33,,,,,,
WAJO,10,,,,,,
SIDENRENG RAPPANG,8.57,,,,,,
PINRANG,15,,,,,,
ENREKANG,10,,,,,,
LUWU,5.71,,,,,,
TANA TORAJA,13.33,,,,,,
LUWU UTARA,2.86,,,,,,
LUWU TIMUR,10,,,,,,
TORAJA UTARA,10,,,,,,
KOTA MAKASSAR,26,,,,,,
KOTA PARE-PARE,20,,,,,,
KOTA PALOPO,28,,,,,,
SULAWESI TENGGARA,20,,,,,,
BUTON,16,,,,,,
MUNA,13.33,,,,,,
KONAWE,27.59,,,,,,
KOLAKA,20,,,,,,
KONAWE SELATAN,25.71,,,,,,
BOMBANA,12,,,,,,
WAKATOBI,32,,,,,,
KOLAKA UTARA,20,,,,,,
BUTON UTARA,25,,,,,,
KONAWE UTARA,15,,,,,,
KOLAKA TIMUR,40,,,,,,
KONAWE KEPULAUAN,10,,,,,,
MUNA BARAT,20,,,,,,
BUTON TENGAH,24,,,,,,
BUTON SELATAN,20,,,,,,
KOTA KENDARI,28.57,,,,,,
KOTA BAU-BAU,24,,,,,,
GORONTALO,26.67,,,,,,
BOALEMO,24,,,,,,
GORONTALO,17.14,,,,,,
POHUWATO,20,,,,,,
BONE BOLANGO,4.17,,,,,,
GORONTALO UTARA,24,,,,,,
KOTA GORONTALO,24,,,,,,
SULAWESI BARAT,11.36,,,,,,
MAJENE,20,,,,,,
POLEWALI MANDAR,17.78,,,,,,
MAMASA,13.33,,,,,,
MAMUJU,10,,,,,,
MAMUJU UTARA,16.67,,,,,,
MAMUJU TENGAH,24,,,,,,
MALUKU,22.22,,,,,,
MALUKU TENGGARA BARAT,25,,,,,,
MALUKU TENGGARA,16,,,,,,
MALUKU TENGAH,7.5,,,,,,
BURU,8,,,,,,
KEPULAUAN ARU,8,,,,,,
SERAM BAGIAN BARAT,3.33,,,,,,
SERAM BAGIAN TIMUR,4,,,,,,
MALUKU BARAT DAYA,5,,,,,,
BURU SELATAN,10,,,,,,
KOTA AMBON,17.14,,,,,,
KOTA TUAL,10,,,,,,
MALUKU UTARA,28.89,,,,,,
HALMAHERA BARAT,20,,,,,,
HALMAHERA TENGAH,10,,,,,,
KEPULAUAN SULA,-,,,,,,
HALMAHERA SELATAN,6.67,,,,,,
HALMAHERA UTARA,20,,,,,,
HALMAHERA TIMUR,5,,,,,,
PULAU MOROTAI,10,,,,,,
PULAU TALIABU,25,,,,,,
KOTA TERNATE,20,,,,,,
KOTA TIDORE KEPULAUAN,16.67,,,,,,
PAPUA BARAT,14.29,,,,,,
FAKFAK,10,,,,,,
KAIMANA,20,,,,,,
TELUK WONDAMA,10,,,,,,
TELUK BINTUNI,10,,,,,,
MANOKWARI,28,,,,,,
SORONG SELATAN,15,,,,,,
SORONG,16,,,,,,
RAJA AMPAT,10,,,,,,
TAMBRAUW,-,,,,,,
MAYBRAT,-,,,,,,
MANOKWARI SELATAN,20,,,,,,
PEGUNUNGAN ARFAK,5,,,,,,
KOTA SORONG,23.33,,,,,,
PAPUA,15.94,,,,,,
MERAUKE,6.67,,,,,,
JAYAWIJAYA,13.33,,,,,,
JAYAPURA,16,,,,,,
NABIRE,12,,,,,,
KEPULAUAN YAPEN,16,,,,,,
BIAK NUMFOR,24,,,,,,
PANIAI,12,,,,,,
PUNCAK JAYA,6.67,,,,,,
MIMIKA,8.82,,,,,,
BOVEN DIGOEL,5,,,,,,
MAPPI,8,,,,,,
ASMAT,47.06,,,,,,
YAHUKIMO,2.86,,,,,,
PEGUNUNGAN BINTANG,4,,,,,,
TOLIKARA,6.67,,,,,,
SARMI,20,,,,,,
KEEROM,5,,,,,,
WAROPEN,5,,,,,,
SUPIORI,15,,,,,,
MAMBERAMO RAYA,15,,,,,,
NDUGA,8,,,,,,
LANNY JAYA,4,,,,,,
MAMBERAMO TENGAH,10,,,,,,
YALIMO,-,,,,,,
PUNCAK,4,,,,,,
DOGIYAI,-,,,,,,
INTAN JAYA,-,,,,,,
DEIYAI,-,,,,,,
KOTA JAYAPURA,22.5,,,,,,
INDONESIA,21.74,,,,,,
